,accuracy,precision,recall,f1,roc_auc,train_time_s
XGBoost,0.8810778897651077,0.8592760721538645,0.8141482739105829,0.8361036847611298,0.9529330385532191,10.334866497003532
Neural Network (Keras),0.8614262219035972,0.8450441487377192,0.769100169779287,0.8052856127044323,0.9352551440263475,13.227099602001545
Random Forest,0.856197022730148,0.8719319895790484,0.7197509903791738,0.7885664682539683,0.9338089199817448,2.5261459670000477
Decision Tree,0.8454855986167925,0.8218598282086393,0.7472552348613469,0.7827839696466683,0.9235334198624192,0.9044994119976764
Logistic Regression,0.8030616117741324,0.7232765090597191,0.7635540464063384,0.7428697280035238,0.8862092652764652,3.179862871998921
