,accuracy,precision,recall,f1,roc_auc,train_time_s
XGBoost,0.8885580068786175,0.8637486763148605,0.8304298642533937,0.8467616356191245,0.9579029922707138,1.260492280998733
Neural Network (Keras),0.8718228336548948,0.842654028436019,0.8045248868778281,0.8231481481481482,0.9459701338464072,15.901816946003237
Random Forest,0.8643989598188071,0.8828349037279803,0.7313348416289592,0.7999752521190373,0.9454789625335023,2.1021536519983783
Decision Tree,0.8550876604311719,0.8190543903306079,0.7819004524886878,0.8000462989756352,0.9328612746053166,0.9078370790011832
Logistic Regression,0.8189749182115594,0.7311937857726901,0.8092760180995475,0.7682560137457045,0.90640458346127,5.028871614998934
